#phyloID	year_color
CHRF_BD0003	#fdd0a2
CSF_0003	#e6550d
CSF_0004	#e6550d
CSF_0015	#a63603
CSF_0016	#a63603
CSF_0017	#a63603
CSF_0018	#fd8d3c
CSF_0019	#fd8d3c
CSF_0020	#a63603
CSF_0022	#e6550d
CSF_0023	#e6550d
CSF_0024	#fd8d3c
CSF_0026	#fd8d3c
CSF_0027	#fd8d3c
CSF_0028	#fd8d3c
CSF_0036	#fdae6b
CSF_0037	#fdae6b
CSF_0038	#fdd0a2
CSF_0039	#fdd0a2
CSF_0040	#fd8d3c
CSF_0041	#e6550d
CSF_0042	#e6550d
CSF_0043	#a63603
CSF_0044	#a63603
CSF_0045	#e6550d
CSF_0046	#e6550d
CSF_0047	#e6550d
CSF_0048	#e6550d
CSF_0049	#fd8d3c
CSF_0050	#e6550d
CSF_0051	#fd8d3c
CSF_0052	#fd8d3c
CSF_0053	#fd8d3c
CSF_0054	#fd8d3c
CSF_0055	#fdae6b
CSF_0056	#fdae6b
CSF_0057	#fdae6b
CSF_0058	#fdae6b
CSF_0059	#fdae6b
CSF_0060	#fdd0a2
CSF_0061	#fdd0a2
CSF_0062	#fdd0a2
CSF_0063	#fdd0a2
CSF_0064	#feedde
CSF_0065	#feedde
CSF_0066	#a63603
CSF_0067	#feedde
CSF_0068	#feedde
CSF_0069	#feedde
CSF_0070	#feedde
CSF_0071	#fdd0a2
CSF_0072	#a63603
CSF_0073	#a63603
CSF_0074	#fdd0a2
CSF_0075	#fdae6b
CSF_0076	#fdae6b
CSF_0077	#fdae6b
DQ873386	#3690c0
DQ873387	#3690c0
DQ873388	#3690c0
DQ873389	#3690c0
EU175855	#74a9cf
EU175856	#74a9cf
EU200667	#74a9cf
EU546204	#034e7b
EU546205	#034e7b
EU546206	#034e7b
EU546207	#034e7b
EU546210	#0570b0
EU546211	#0570b0
HQ593530	#74a9cf
HQ593531	#74a9cf
HQ593532	#3690c0
JN183922	#3690c0
JN798193	#a6bddb
JN798194	#a6bddb
JN798195	#a6bddb
JN798196	#a6bddb
KJ541119	#3690c0
KJ541120	#3690c0
KJ541121	#3690c0
KM390024	#d0d1e6
KM390025	#d0d1e6
KU871314	#f1eef6
KU871315	#f1eef6
MZ820170	#fdd0a2
MZ820171	#fdd0a2
